"region.name.achinese","region.name.afrikaans","region.name.albanian","region.name.arabic","region.name.aragonese","region.name.armenian","region.name.avaric","region.name.azerbaijani","region.name.bashkir","region.name.basque","region.name.belarusian","region.name.bosnian","region.name.bulgarian","region.name.catalan","region.name.chechen","region.name.chinese","region.name.chuvash","region.name.croatian","region.name.czech","region.name.danish","region.name.dutch","region.name.eastern.mari","region.name.erzya","region.name.esperanto","region.name.estonian","region.name.finnish","region.name.french","region.name.gagauz","region.name.galician","region.name.georgian","region.name.german","region.name.gothic","region.name.greek","region.name.hakka","region.name.hebrew","region.name.hindi","region.name.hungarian","region.name.icelandic","region.name.indonesian","region.name.irish","region.name.italian","region.name.japanese","region.name.kabardian","region.name.kalmyk","region.name.karachay-balkar","region.name.kazakh","region.name.komi","region.name.korean","region.name.latin","region.name.latvian","region.name.lithuanian","region.name.low.german","region.name.luxembourgish","region.name.macedonian","region.name.malay","region.name.marathi","region.name.mongolian","region.name.northern.sami","region.name.norwegian.bokmål","region.name.norwegian.nynorsk","region.name.ossetic","region.name.pampanga","region.name.persian","region.name.polish","region.name.portuguese","region.name.romanian","region.name.russian","region.name.sakha","region.name.scots","region.name.serbian","region.name.serbo-croatian","region.name.slovak","region.name.slovenian","region.name.spanish","region.name.sundanese","region.name.swedish","region.name.tagalog","region.name.tamil","region.name.tatar","region.name.thai","region.name.turkish","region.name.udmurt","region.name.ukrainian","region.name.urdu","region.name.uyghur","region.name.uzbek","region.name.veps","region.name.vietnamese","region.name.waray","region.name.welsh","region.name.western.punjabi","region.name.беларуская.тарашкевіца‎","region.name.буряад","region.name.молдовеняскэ","region.name.english"
"Krai Krasnoyarsk","Krasnojarsk-krai",NA,"كراسنويارسك كراي",NA,"Կրասնոյարսկի երկրամաս",NA,"Krasnoyarsk diyarı","Красноярск крайы","Krasnoiarsk kraia","Краснаярскі край","Krasnojarski kraj","Красноярски край","Territori de Krasnoiarsk","Красноярскан мехкайист","克拉斯諾亞爾斯克邊疆區","Красноярск Ен","Krasnojarski kraj","Krasnojarský kraj","Krasnojarsk kraj","Kraj Krasnojarsk","Красноярск мланде","Красноярскоень край","Krasnojarska regiono","Krasnojarski krai","Krasnojarskin aluepiiri","Kraï de Krasnoïarsk",NA,NA,"კრასნოიარსკის მხარე","Region Krasnojarsk",NA,"Κράι Κρασνογιάρσκ",NA,"מחוז קרסנויארסק","क्रस्नोयार्स्क क्राय","Krasznojarszki határterület",NA,"Krai Krasnoyarsk","Críoch Krasnoyarsk","Territorio di Krasnojarsk","クラスノヤルスク地方",NA,"Красноярин зах улс",NA,NA,"Красноярск край","크라스노야르스크 지방",NA,"Krasnojarskas novads","Krasnojarsko kraštas",NA,NA,"Краснојарски крај","Jajahan Krasnoyarsk","क्रास्नोयार्स्क क्राय","Красноярскийн хязгаар",NA,"Krasnojarsk kraj","Krasnojarsk kraj","Красноярсчы край",NA,"سرزمین کراسنویارسک","Kraj Krasnojarski","Krai de Krasnoiarsk","Ținutul Krasnoiarsk","Красноярский край","Красноярскай кыраай","Krasnoyarsk Krai","Краснојарска Покрајина","Krasnojarski kraj","Krasnojarský kraj",NA,"Krai de Krasnoyarsk",NA,"Krasnojarsk kraj","Krasnoyarsk Krai","கிராஸ்னயார்சுக் பிரதேசம்","Красноярск крае",NA,"Krasnoyarsk Krayı","Красноярск шаер","Красноярський край","کراسنویارسک کرائی",NA,"Krasnoyarsk oʻlkasi","Krasnojarskan rand","Krasnoyarsk (vùng)","Krasnoyarsk Krai","Crai Krasnoyarsk","صوبہ کراسنویارسک","Краснаярскі край","Красноярск хизаар",NA,"Krasnoyarsk_Krai"
"Krai Perm","Perm-krai",NA,"بيرم كراي",NA,"Պերմի երկրամաս",NA,"Perm diyarı","Пермь крайы","Perm kraia","Пермскі край","Permski kraj","Пермски край","Territori de Perm","Пермийн мехкайист","彼爾姆邊疆區","Перĕм Ен","Permski kraj","Permský kraj","Perm kraj","Kraj Perm","Пермь мланде","Пермень край","Permja regiono","Permi krai","Permin aluepiiri","Kraï de Perm",NA,NA,"პერმის მხარე","Region Perm",NA,"Κράι Περμ",NA,"מחוז פרם","पेर्म क्राय","Permi határterület",NA,"Krai Perm","Críoch Pherm","Territorio di Perm","ペルミ地方",NA,"Пермин зах улс",NA,NA,"Перым край","페름 지방",NA,"Permas novads","Permės kraštas",NA,NA,"Пермски крај","Jajahan Perm","पर्म क्राय",NA,NA,"Perm kraj","Perm kraj","Пермы край",NA,"سرزمین پرم","Kraj Permski","Krai de Perm","Ținutul Perm","Пермский край","Пермь кыраайа","Perm Krai","Пермска Покрајина","Permski kraj","Permský kraj",NA,"Krai de Perm",NA,"Perm kraj","Perm Krai","பேர்ம் பிரதேசம்","Пермь крае",NA,"Perm Krayı","Пермь шаер","Пермський край","پیرم کرائی",NA,"Permskiy oʻlkasi","Permin rand","Perm (vùng)","Perm Krai","Crai Perm","پرم","Пермскі край",NA,NA,"Perm_Krai"
"Krai Primorsky","Primorski-krai",NA,"بريمورسكي كراي",NA,"Մերձծովյան երկրամաս",NA,"Primorsk diyarı",NA,"Primorski kraia","Прыморскі край","Primorski kraj","Приморски край","Territori de Primórie","Приморера мехкайист","滨海边疆区","Тинĕсçум Ен","Primorski kraj","Přímořský kraj","Primorskij kraj","Kraj Primorski","Теҥызсер мланде",NA,"Ĉemara Regiono","Primorje krai","Primorjen aluepiiri","Kraï du Primorie",NA,NA,"პრიმორიეს მხარე","Region Primorje",NA,"Κράι Πριμόρσκι",NA,"מחוז פרימוריה","प्रिमोर्स्की क्राय","Tengermelléki határterület",NA,"Krai Primorsky","Críoch Phrimorsky","Territorio del Litorale","沿海地方",NA,"Теңгс Өөрин зах улс",NA,NA,"Саридздор край","프리모르스키 지방",NA,"Piejūras novads","Primorės kraštas",NA,NA,"Приморски крај","Jajahan Primorsky","प्रिमोर्स्की क्राय",NA,NA,"Primorskij kraj","Primorskij kraj","Денджызгæрон край",NA,"سرزمین پریمورسکی","Kraj Nadmorski","Krai do Litoral","Ținutul Primorie","Приморский край","Приморье кыраайа","Primorsky Krai","Приморска Покрајина","Primorski kraj","Prímorský kraj",NA,"Krai de Primorie",NA,"Primorje kraj","Primorsky Krai","பிறிமோர்சுக்கி நிலப்பரப்பு","Диңгез буе крае",NA,"Primorskiy Krayı",NA,"Приморський край","پریمورسکی کرائی",NA,"Primorsk oʻlkasi","Merenrandaline rand","Primorsky (vùng)","Primorsky Krai","Crai Primorsky","پریمورسکی","Прыморскі край",NA,NA,"Primorsky_Krai"
"Krai Stavropol","Stawropol-krai",NA,"كراي ستافروبول",NA,"Ստավրոպոլի երկրամաս","Ставропол улка","Stavropol diyarı",NA,"Stavropol kraia","Стаўрапольскі край","Stavropoljski kraj","Ставрополски край","Territori de Stàvropol","Ставрополан мехкайист","斯塔夫罗波尔边疆区","Ставрополь Ен","Stavropoljski kraj","Stavropolský kraj","Stavropol kraj","Kraj Stavropol","Ставрополь мланде",NA,"Stavropola regiono","Stavropoli krai","Stavropolin aluepiiri","Kraï de Stavropol",NA,"Krai de Stavropol","სტავროპოლის მხარე","Region Stawropol",NA,"Κράι Σταυρούπολης",NA,"מחוז סטברופול","स्ताव्रोपोल क्राय",NA,NA,"Krai Stavropol","Críoch Stavropol","Territorio di Stavropol","スタヴロポリ地方","Ставропол щIыгу","Ставрополин зах улс",NA,NA,"Ставрополь край","스타브로폴 지방",NA,"Stavropoles novads","Stavropolio kraštas",NA,NA,"Ставрополски крај","Jajahan Stavropol","स्ताव्रोपोल क्राय","Ставрополийн хязгаар",NA,"Stavropol kraj","Stavropol kraj","Стъараполы край",NA,"سرزمین استاوروپول","Kraj Stawropolski","Krai de Stavropol","Ținutul Stavropol","Ставропольский край","Ставрополь кыраайа","Stavropol Krai","Ставропољска Покрајина","Stavropoljski kraj","Stavropoľský kraj",NA,"Krai de Stávropol","Krai Stavropol","Stavropol kraj","Stavropol Krai","இசுதாவ்ரபோல் நிலப்பரப்பு","Ставрополь крае",NA,"Stavropol Krayı","Ставрополь шаер","Ставропольський край","سٹاوروپول کرائی",NA,"Stavropol oʻlkasi","Stavropolin rand","Stavropol (vùng)","Stavropol Krai","Crai Stavropol","سٹاوروپل","Стаўрапольскі край",NA,NA,"Stavropol_Krai"
"Krai Zabaykalsky","Zabaikalski-krai",NA,"كراي عبر البايكال",NA,"Անդրբայկալյան երկրամաս",NA,"Zabaykalsk diyarı",NA,"Zabaikalski kraia","Забайкальскі край","Zabajkalski kraj","Забайкалски край","Territori de Zabaikal","Забайкальскан мехкайист","外貝加爾邊疆區",NA,"Zabajkalski kraj","Zabajkalský kraj","Zabajkalskij kraj","Kraj Transbaikal","Байкалшеҥгел мланде","Байкалонь томбале край",NA,"Taga-Baikali krai","Taka-Baikalian aluepiiri","Kraï de Transbaïkalie",NA,NA,"იმიერბაიკალეთის მხარე","Region Transbaikalien",NA,"Κράι Υπερβαϊκάλης",NA,"מחוז עבר הבאיקל","ज़बायकाल्स्की क्राय","Bajkálontúli határterület",NA,"Krai Zabaykalsky",NA,"Territorio della Transbajkalia","ザバイカリエ地方",NA,"Бәәгл Теңгсин зах улс",NA,NA,"Байкалсайса край","자바이칼 지방",NA,"Aizbaikāla novads","Užbaikalės kraštas",NA,NA,"Забајкалски крај","Jajahan Zabaykalsky","झबायकल्स्की क्राय","Өвөр Байгалын хязгаар",NA,"Zabajkalskij kraj","Zabajkalskij kraj","Фæсбайкалы край",NA,"سرزمین زابایکالسکی","Kraj Zabajkalski","Krai de Zabaykalsky","Ținutul Transbaikal","Забайкальский край","Забайкальскай кыраай","Zabaykalsky Krai","Забајкалска Покрајина",NA,"Zabajkalský kraj",NA,"Krai de Zabaikalie",NA,"Zabajkalskij kraj","Zabaykalsky Krai",NA,"Байкал арты крае",NA,"Zabaykalskiy Krayı","Забайкальской шаер","Забайкальський край","زابایکالسکی کرائی",NA,"Zabaykal olkasi","Baikalantagaine rand","Zabaykalsky (vùng)","Zabaykalsky Krai","Crai Zabaykalsky","زبیکالسکی","Забайкальскі край","Байгалай саанахи хизаар",NA,"Zabaykalsky_Krai"
"Oblast Amur","Amoer-oblast",NA,"أوبلاست أمور",NA,"Ամուրի մարզ",NA,"Amur vilayəti","Амур өлкәһе","Amur oblasta","Амурская вобласць","Amurska oblast","Амурска област","Província de lAmur","Амуран область","阿穆尔州","Амур облаçĕ","Amurska oblast","Amurská oblast","Amur oblast","Oblast Amoer","Амур вел","Амуронь ёнкс","Amura provinco","Amuuri oblast","Amurin alue","Oblast dAmour",NA,"Óblast de Amur","ამურის ოლქი","Oblast Amur",NA,"Περιφέρεια Αμούρ","Amur-chû","מחוז אמור","अमूर ओब्लास्त","Amuri terület","Amúrfylki","Oblast Amur","Cúige Amur","Oblast dellAmur","アムール州",NA,"Амрин төгәлң",NA,NA,"Амур обласьт","아무르 주","Regio Amurensis","Amūras apgabals","Amūro sritis",NA,NA,"Амурска област","Wilayah Amur","आमूर ओब्लास्त",NA,"Amur oblast","Amur oblast","Amur oblast","Амуры облæст","Amur Oblast","استان آمور","Obwód amurski","Oblast de Amur","Regiunea Amur","Амурская область","Амур уобалаhа","Amur Oblast","Амурска област","Amurska oblast","Amurská oblasť","Amurska oblast","Óblast de Amur",NA,"Amur oblast","Amur Oblast","அமுர் ஓபலாசுத்து","Амур өлкәсе",NA,"Amur Oblastı",NA,"Амурська область","آمور اوبلاست",NA,"Amur viloyati",NA,"Amur (tỉnh)","Amur Oblast","Oblast Amur","آمور اوبلاست","Амурская вобласьць",NA,NA,"Amur_Oblast"
"Oblast Arkhangelsk","Archangelsk-oblast",NA,"أوبلاست أرخانغلسك",NA,"Արխանգելսկի մարզ",NA,"Arxangelsk vilayəti","Архангельск өлкәһе","Arkhangelsk oblasta","Архангельская вобласць","Arhangelska oblast","Архангелска област","Província dArkhànguelsk","Архангельскан область","阿尔汉格尔斯克州","Архангельск облаçĕ","Arhangelska oblast","Archangelská oblast","Arkhangelsk oblast","Oblast Archangelsk","Архангельск вел",NA,"Arĥangelska provinco","Arhangelski oblast","Arkangelin alue","Oblast dArkhangelsk",NA,"Óblast de Arkhanguelsk","არხანგელსკის ოლქი","Oblast Archangelsk",NA,"Περιφέρεια Αρχάγγελσκ","Arkhangelsk-chû","מחוז ארכנגלסק","आरख़ान्गेल्स्क ओब्लास्त","Arhangelszki terület","Arkangelskfylki","Oblast Arkhangelsk","Cúige Arkhangelsk","Oblast di Arcangelo","アルハンゲリスク州","Архангелск област","Арханҗилин заг",NA,NA,"Кардор обласьт","아르한겔스크 주","Regio Archangelopolitana","Arhangeļskas apgabals","Archangelsko sritis",NA,NA,"Архангелска област","Wilayah Arkhangelsk","अर्खांगेल्स्क ओब्लास्त","Архангельск муж","Arkhangelsk oblast","Arkhangelsk oblast","Arkhangelsk oblast","Архангельсчы облæст","Arkhangelsk Oblast","استان آرخانگلسک","Obwód archangielski","Oblast de Arkhangelsk","Regiunea Arhanghelsk","Архангельская область","Архангельскай уобалас","Arkhangelsk Oblast","Архангелска област","Arhangeljska oblast","Archangeľská oblasť","Arhangelska oblast","Óblast de Arcángel",NA,"Archangelsk oblast","Arkhangelsk Oblast","ஆர்க்காங்கெல்சிக் ஓபலாசுத்து","Архангельск өлкәсе",NA,"Arhangelsk Oblastı",NA,"Архангельська область","آرخانگلسک اوبلاست",NA,"Arxangelsk viloyati","Arhangelskan agj","Arkhangelsk (tỉnh)","Arkhangelsk Oblast","Oblast Arkhangelsk","آرخانگلسک اوبلاست","Архангельская вобласьць",NA,NA,"Arkhangelsk_Oblast"
"Oblast Astrakhan","Astrachan-oblast",NA,"أوبلاست أستراخان",NA,"Աստրախանի մարզ",NA,"Həştərxan vilayəti","Әстрәхан өлкәһе","Astrakhan oblasta","Астраханская вобласць","Astrahanska oblast","Астраханска област","Província dÀstrakhan","Астраханан область","阿斯特拉罕州","Аçтăрхан облаçĕ","Astrahanska oblast","Astrachaňská oblast","Astrakhan oblast","Oblast Astrachan","Астрахань вел","Астраханонь ёнкс","Astraĥana provinco","Astrahani oblast","Astrahanin alue","Oblast dAstrakhan",NA,"Óblast de Astrakán","ასტრახანის ოლქი","Oblast Astrachan",NA,"Περιφέρεια Άστραχαν","Astrakhan-chû","מחוז אסטרחן","आस्त्राख़ान ओब्लास्त","Asztraháni terület","Astrakanfylki","Oblast Astrakhan","Cúige na hAstracháine","Oblast di Astrachan","アストラハン州","Ащтэрхъан област","Әәдрхнә төгәлң",NA,"Астрахан облысы","Астрахань обласьт","아스트라한 주","Regio Astrachanensis","Astrahaņas apgabals","Astrachanės sritis",NA,NA,"Астраханска област","Wilayah Astrakhan","आस्त्राखान ओब्लास्त",NA,"Astrakhan oblast","Astrakhan oblast","Astrakhan oblast","Астраханы облæст","Astrakhan Oblast","استان آستراخان","Obwód astrachański","Oblast de Astracã","Regiunea Astrahan","Астраханская область","Астрахан уобалаhа","Astrakhan Oblast","Астраханска област","Astrahanska oblast","Astrachánska oblasť","Astrahanska oblast","Óblast de Astracán",NA,"Astrachan oblast","Astrakhan Oblast","அஸ்த்ரகான் ஒப்லாஸ்து","Әстерхан өлкәсе",NA,"Astrahan Oblastı",NA,"Астраханська область","استراخان اوبلاست",NA,"Astraxan viloyati",NA,"Astrakhan (tỉnh)","Astrakhan Oblast","Oblast Astrakhan","استراخان اوبلاست","Астраханская вобласьць",NA,NA,"Astrakhan_Oblast"
NA,"Belgorod-oblast",NA,"أوبلاست بيلغورود",NA,"Բելգորոդի մարզ",NA,"Belqorod vilayəti","Белгород өлкәһе","Belgorod oblasta","Белгародская вобласць","Belgorodska oblast","Белгородска област","Província de Bélgorod","Белгородан область","别尔哥罗德州",NA,"Belgorodska oblast","Bělgorodská oblast","Belgorod oblast","Oblast Belgorod","Белгород вел","Белгородонь ёнкс","Belgoroda provinco","Belgorodi oblast","Belgorodin alue","Oblast de Belgorod",NA,NA,"ბელგოროდის ოლქი","Oblast Belgorod",NA,"Περιφέρεια Μπέλγκοροντ","Belgorod-chû","מחוז בלגורוד","बेल्गोरोद ओब्लास्त","Belgorodi terület","Belgorodfylki","Oblast Belgorod","Cúige Bhelgorod","Oblast di Belgorod","ベルゴロド州","Белгород област","Белгорода төгәлң",NA,NA,"Белгород обласьт","벨고로드 주",NA,"Belgorodas apgabals","Belgorodo sritis",NA,NA,"Белгородска област","Wilayah Belgorod","बेल्गोरोद ओब्लास्त",NA,"Belgorod oblast","Belgorod oblast","Belgorod oblast","Белгороды облæст","Belgorod Oblast","استان بیلگاراد","Obwód biełgorodzki","Oblast de Belgorod","Regiunea Belgorod","Белгородская область","Белгород уобалаһа","Belgorod Oblast","Белгородска област","Belgorodska oblast","Belgorodská oblasť","Belgorodska oblast","Óblast de Bélgorod",NA,"Belgorod oblast","Belgorod Oblast","பெல்கோரத் ஒப்லாஸ்து","Белгород өлкәсе",NA,"Belgorod Oblastı",NA,"Бєлгородська область","بلگورود اوبلاست",NA,"Belgorod viloyati",NA,"Belgorod (tỉnh)","Belgorod Oblast","Oblast Belgorod","بلگورد اوبلاست","Белгародзкая вобласьць",NA,NA,"Belgorod_Oblast"
"Oblast Bryansk","Brjansk-oblast",NA,"أوبلاست بريانسك",NA,"Բրյանսկի մարզ",NA,"Bryansk vilayəti","Брянск өлкәһе","Briansk oblasta","Бранская вобласць","Brjanska oblast","Брянска област","Província de Briansk","Брянскан область","布良斯克州",NA,"Brjanska oblast","Brjanská oblast","Brjansk oblast","Oblast Brjansk","Брянск вел","Брянскоень ёнкс","Brjanska provinco","Brjanski oblast","Brjanskin alue","Oblast de Briansk",NA,NA,"ბრიანსკის ოლქი","Oblast Brjansk",NA,"Περιφέρεια Μπριάνσκ","Bryansk-chû","מחוז בריאנסק",NA,"Brjanszki terület",NA,"Oblast Bryansk","Cúige Bryansk","Oblast di Brjansk","ブリャンスク州","Бранск област","Бряна төгәлң",NA,NA,"Брянск обласьт","브랸스크 주",NA,"Brjanskas apgabals","Briansko sritis",NA,NA,"Брјанска област","Wilayah Bryansk","ब्र्यान्स्क ओब्लास्त","Брянск муж","Brjansk oblast","Brjansk oblast","Brjansk oblast","Брянсчы облæст","Bryansk Oblast","استان بریانسک","Obwód briański","Oblast de Briansk","Regiunea Briansk","Брянская область","Брянскай уобалас","Bryansk Oblast","Брјанска област","Brjanska oblast","Brianska oblasť","Brjanska oblast","Óblast de Briansk",NA,"Brjansk oblast","Bryansk Oblast","ப்ரையன்ஸ்க் ஒப்லாஸ்து","Брянск өлкәсе",NA,"Bryansk Oblastı",NA,"Брянська область","بریانسک اوبلاست",NA,"Bryansk viloyati",NA,"Bryansk (tỉnh)","Bryansk Oblast","Oblast Bryansk","بریانسک اوبلاست","Бранская вобласьць",NA,NA,"Bryansk_Oblast"
"Oblast Chelyabinsk","Tsjeljabinsk-oblast",NA,"أوبلاست تشيليابنسك",NA,NA,NA,"Çelyabinsk vilayəti","Силәбе өлкәһе","Txeliabinsk oblasta","Чалябінская вобласць","Čeljabinska oblast","Челябинска област","Província de Txeliàbinsk","Челябинскан область","车里雅宾斯克州","Челепи облаçĕ","Čeljabinska oblast","Čeljabinská oblast","Tjeljabinsk oblast","Oblast Tsjeljabinsk","Челябе вел","Челябань ёнкс","Ĉeljabinska provinco","Tšeljabinski oblast","Tšeljabinskin alue","Oblast de Tcheliabinsk",NA,NA,"ჩელიაბინსკის ოლქი","Oblast Tscheljabinsk",NA,"Περιφέρεια Τσελιάμπινσκ","Chelyabinsk-chû","מחוז צליאבינסק","चेल्याबिन्स्क ओब्लास्त","Cseljabinszki terület",NA,"Oblast Chelyabinsk","Cúige Chelyabinsk","Oblast di Čeljabinsk","チェリャビンスク州",NA,"Челябинска төгәлң",NA,"Челябі облысы","Челябинск обласьт","첼랴빈스크 주",NA,"Čeļabinskas apgabals","Čeliabinsko sritis",NA,NA,"Челјабинска област","Wilayah Chelyabinsk","चेलियाबिन्स्क ओब्लास्त","Челябинск муж",NA,"Tsjeljabinsk oblast","Tsjeljabinsk oblast","Челябинсчы облæст","Chelyabinsk Oblast","استان چلیابینسک","Obwód czelabiński","Oblast de Cheliabinsk","Regiunea Celeabinsk","Челябинская область","Челябинскай уобалас","Chelyabinsk Oblast","Чељабинска област","Čeljabinska oblast","Čeľabinská oblasť","Čeljabinska oblast","Óblast de Cheliábinsk",NA,"Tjeljabinsk oblast","Chelyabinsk Oblast","செல்யபின்ஸ்க் ஒப்லாஸ்து","Чиләбе өлкәсе",NA,"Çelyabinsk Oblastı","Челябинск улос","Челябінська область","چیلیابنسک اوبلاست",NA,"Chelyabinsk viloyati",NA,"Chelyabinsk (tỉnh)","Chelyabinsk Oblast","Oblast Chelyabinsk","چیلیابنسک اوبلاست","Чалябінская вобласьць",NA,NA,"Chelyabinsk_Oblast"
"Oblast Irkutsk","Irkoetsk-oblast",NA,"إركوتسك أوبلاست",NA,"Իրկուտսկի մարզ",NA,"İrkutsk vilayəti",NA,"Irkutsk oblasta","Іркуцкая вобласць","Irkutska oblast","Иркутска област","Província dIrkutsk","Иркутскан область","伊尔库茨克州",NA,"Irkutska oblast","Irkutská oblast","Irkutsk oblast","Oblast Irkoetsk","Иркутск вел","Иркутонь ёнкс","Irkutska provinco","Irkutski oblast","Irkutskin alue","Oblast dIrkoutsk",NA,NA,"ირკუტსკის ოლქი","Oblast Irkutsk",NA,"Περιφέρεια Ιρκούτσκ","Irkutsk-chû","מחוז אירקוטסק","इरकुत्स्क ओब्लास्त","Irkutszki terület",NA,"Oblast Irkutsk","Cúige Irkutsk","Oblast di Irkutsk","イルクーツク州",NA,"Эркү төгәлң",NA,NA,"Иркутск обласьт","이르쿠츠크 주","Regio Ircutensis","Irkutskas apgabals","Irkutsko sritis",NA,NA,"Иркутска област","Wilayah Irkutsk","इरकुत्स्क ओब्लास्त","Эрхүү муж","Irkutsk oblast","Irkutsk oblast","Irkutsk oblast","Иркутсчы облæст","Irkutsk Oblast","استان ایرکوتسک","Obwód irkucki","Oblast de Irkutsk","Regiunea Irkutsk","Иркутская область","Иркутскай уобалаhа","Irkutsk Oblast","Иркутска област","Irkutska oblast","Irkutská oblasť","Irkutska oblast","Óblast de Irkutsk",NA,"Irkutsk oblast","Irkutsk Oblast","இர்கூத்ஸ்க் ஒப்லாஸ்து","Иркутск өлкәсе",NA,"İrkutsk Oblastı","Иркутск улос","Іркутська область","ارکتسک اوبلاست",NA,"Irkutsk viloyati",NA,"Irkutsk (tỉnh)","Irkutsk Oblast","Oblast Irkutsk","ارکتسک اوبلاست","Іркуцкая вобласьць","Эрхүүгэй можо",NA,"Irkutsk_Oblast"
"Oblast Ivanovo","Iwanowo-oblast",NA,"أوبلاست إيفانوفو",NA,"Իվանովոյի մարզ",NA,"İvanovo vilayəti",NA,"Ivanovo oblasta","Іванаўская вобласць","Ivanovska oblast","Ивановска област","Província dIvànovo","Иванован область","伊万诺沃州","Иваново облаçĕ","Ivanovska oblast","Ivanovská oblast","Ivanovo oblast","Oblast Ivanovo","Иваново вел","Ивановонь ёнкс","Ivanova provinco","Ivanovo oblast","Ivanovon alue","Oblast dIvanovo",NA,NA,"ივანოვოს ოლქი","Oblast Iwanowo",NA,"Περιφέρεια Ιβάνοβο","Ivanovo-chû","מחוז איוואנובו","इवानोवो ओब्लास्ट","Ivanovói terület",NA,"Oblast Ivanovo","Cúige Ivanovo","Oblast di Ivanovo","イヴァノヴォ州","Иваново област","Иванова төгәлң",NA,NA,"Иваново обласьт","이바노보 주",NA,"Ivanovas apgabals","Ivanovo sritis",NA,NA,"Ивановска област","Wilayah Ivanovo","इवानोवो ओब्लास्त","Иваново муж","Ivanovo oblast","Ivanovo oblast","Ivanovo oblast","Ивановойы облæст","Ivanovo Oblast","استان ایوانوف","Obwód iwanowski","Oblast de Ivanovo","Regiunea Ivanovo","Ивановская область","Иваново уобалаhа","Ivanovo Oblast","Ивановска област","Ivanovska oblast","Ivanovská oblasť","Ivanovska oblast","Óblast de Ivánovo",NA,"Ivanovo oblast","Ivanovo Oblast","இவானோவா ஒப்லாஸ்து","Иваново өлкәсе",NA,"İvanovo Oblastı",NA,"Івановська область","ایوانوو اوبلاست",NA,"Ivanovo viloyati",NA,"Ivanovo (tỉnh)","Ivanovo Oblast","Oblast Ivanovo","ایوانووا اوبلاست","Іванаўская вобласьць",NA,NA,"Ivanovo_Oblast"
"Oblast Kaliningrad","Kaliningrad-oblast",NA,"أوبلاست كالينينغرادسكايا",NA,"Կալինինգրադի մարզ",NA,"Kalininqrad vilayəti",NA,"Kaliningradeko oblasta","Калінінградская вобласць","Kalinjingradska oblast","Калининградска област","Província de Kaliningrad","Калининградан область","加里宁格勒州","Калининград облаçĕ","Kalinjingradska oblast","Kaliningradská oblast","Kaliningrad oblast","Oblast Kaliningrad","Калининград вел","Калининградонь ёнкс","Kaliningrada provinco","Kaliningradi oblast","Kaliningradin alue","Oblast de Kaliningrad",NA,"Óblast de Kaliningrado","კალინინგრადის ოლქი","Oblast Kaliningrad",NA,"Περιφέρεια Καλίνινγκραντ","Kaliningrad-chû","מחוז קלינינגרד",NA,"Kalinyingrádi terület",NA,"Oblast Kaliningrad","Cúige Kaliningrad","Oblast di Kaliningrad","カリーニングラード州","Калининград област","Калинингара төгәлң",NA,NA,"Калининград обласьт","칼리닌그라드 주","Regio Kaliningradensis","Kaļiņingradas apgabals","Kaliningrado sritis","Kaliningrader Oblast",NA,"Калининградска област","Wilayah Kaliningrad","कालिनिनग्राद ओब्लास्त","Калининград муж","Kaliningrad oblast","Kaliningrad oblast","Kaliningrad oblast","Калининграды облæст","Kaliningrad Oblast","استان کالینینگراد","Obwód kaliningradzki","Oblast de Kaliningrado","Regiunea Kaliningrad","Калининградская область","Калининград уобалаһа","Kaliningrad Oblast","Калињинградска област","Kalinjingradska oblast","Kaliningradská oblasť","Kaliningrajska oblast","Óblast de Kaliningrado",NA,"Kaliningrad oblast","Kaliningrad Oblast","கலினின்கிராட் ஒப்லாஸ்து","Калининград өлкәсе","คาลินินกราดโอบลาสต์","Kaliningrad Oblastı",NA,"Калінінградська область","کیلننگراڈ اوبلاست",NA,"Kaliningrad viloyati","Kaliningradan agj","Kaliningrad (tỉnh)","Kaliningrad Oblast","Oblast Kaliningrad","کلینن گراد اوبلاست","Калінінградзкая вобласьць",NA,NA,"Kaliningrad_Oblast"
